lookback,batchsize,updates,threshold,AvgTrain_RNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
18,23,5,0,0.166842592,0.412095201,0.506065924,0.019071291
18,23,5,0.1,0.166842592,0.412095201,0.55436884,0.019918428
18,23,6,0,0.166842592,0.412095201,0.305371136,0.022055044
18,23,6,0.1,0.166842592,0.412095201,0.474611697,0.021973992
18,25,5,0,0.16661889,0.407065192,0.307873328,0.018826915
18,25,5,0.1,0.16661889,0.407065192,0.297468133,0.01881471
18,25,6,0,0.16661889,0.407065192,0.281624151,0.022326729
18,25,6,0.1,0.16661889,0.407065192,0.346878439,0.022305293
24,23,5,0,0.159328104,0.398953394,0.458496322,0.019746865
24,23,5,0.1,0.159328104,0.398953394,0.362815255,0.019526791
24,23,6,0,0.159328104,0.398953394,0.51668323,0.023164207
24,23,6,0.1,0.159328104,0.398953394,0.299515665,0.023217911
24,25,5,0,0.157938874,0.401970991,0.402440024,0.019677338
24,25,5,0.1,0.157938874,0.401970991,0.371320337,0.019850788
24,25,6,0,0.157938874,0.401970991,0.535380577,0.023445715
24,25,6,0.1,0.157938874,0.401970991,0.360508743,0.023254716
