lookback,batchsize,updates,threshold,numfilters1,numfilters2,AvgTrainRNMSE,AvgTestRNMSE,AvgTestIncRNMSE,AvgTestIncTime
18,23,5,0,12,22,0.1539547552366119,0.3504296418359679,0.35826301917717956,0.0445296987468669
18,23,5,0,12,24,0.16370820845156342,0.35799662317935155,0.2964536926118185,0.04459293735951242
18,23,5,0,16,22,0.12253121559600338,0.3253326689515101,0.27886398371276533,0.0454181441737934
18,23,5,0,16,24,0.22798460202536353,0.3528454199235428,0.2986770599076382,0.04543219779975473
18,23,5,0.1,12,22,0.1539547552366119,0.3504296418359679,0.36109504347361987,0.04562349101448801
18,23,5,0.1,12,24,0.16370820845156342,0.35799662317935155,0.39249185622157423,0.04504681717265736
18,23,5,0.1,16,22,0.12253121559600338,0.3253326689515101,0.25978119845218717,0.045010080572516036
18,23,5,0.1,16,24,0.22798460202536353,0.3528454199235428,0.406796614583889,0.045538216136222665
18,23,6,0,12,22,0.1539547552366119,0.3504296418359679,0.3184704541248802,0.053966073322836976
18,23,6,0,12,24,0.16370820845156342,0.35799662317935155,0.3258644124707386,0.0527741922548002
18,23,6,0,16,22,0.12253121559600338,0.3253326689515101,0.271438179852853,0.05318478893467519
18,23,6,0,16,24,0.22798460202536353,0.3528454199235428,0.3116665654417565,0.05409385621660373
18,23,6,0.1,12,22,0.1539547552366119,0.3504296418359679,0.3835297009815157,0.05496521477014195
18,23,6,0.1,12,24,0.16370820845156342,0.35799662317935155,0.39098341881026244,0.05414497817298224
18,23,6,0.1,16,22,0.12253121559600338,0.3253326689515101,0.26323763950004103,0.05357096387611834
18,23,6,0.1,16,24,0.22798460202536353,0.3528454199235428,0.31864683130227406,0.05473617377909726
18,25,5,0,12,22,0.1269154369656964,0.36422772412826443,0.5658822026500437,0.04677967412131173
18,25,5,0,12,24,0.14200708303596365,0.34204030911067373,0.3600379967679064,0.04704864819844564
18,25,5,0,16,22,0.12989706581298724,0.38605588895094395,0.37872976128514796,0.04710731778826032
18,25,5,0,16,24,0.1318842014190176,0.3390554357329892,0.2961608128233829,0.045623218445550826
18,25,5,0.1,12,22,0.1269154369656964,0.36422772412826443,0.3260449695454369,0.046210115164229015
18,25,5,0.1,12,24,0.14200708303596365,0.34204030911067373,0.3285773626118074,0.04525755703979854
18,25,5,0.1,16,22,0.12989706581298724,0.38605588895094395,0.3511337260078214,0.04479543946438273
18,25,5,0.1,16,24,0.1318842014190176,0.3390554357329892,0.3034468969295325,0.04524495912007198
18,25,6,0,12,22,0.1269154369656964,0.36422772412826443,0.4038580171526241,0.05355937821524484
18,25,6,0,12,24,0.14200708303596365,0.34204030911067373,0.319830750432198,0.052927981785365515
18,25,6,0,16,22,0.12989706581298724,0.38605588895094395,0.23271492434185978,0.05297365597316197
18,25,6,0,16,24,0.1318842014190176,0.3390554357329892,0.40014329421195777,0.052906638781229656
18,25,6,0.1,12,22,0.1269154369656964,0.36422772412826443,0.35375664602985063,0.05591486316901779
18,25,6,0.1,12,24,0.14200708303596365,0.34204030911067373,0.3615138918810975,0.054422813545134195
18,25,6,0.1,16,22,0.12989706581298724,0.38605588895094395,0.318213794274924,0.056030739553979185
18,25,6,0.1,16,24,0.1318842014190176,0.3390554357329892,0.2766284521062701,0.056507787269180744
24,23,5,0,12,22,0.13511883828784538,0.3415885730565331,0.2843594271423719,0.053643323373103485
24,23,5,0,12,24,0.25142390808992365,0.4642650887913396,0.35167343208961077,0.05429679460571584
24,23,5,0,16,22,0.1580558155556424,0.3755333063640771,0.23801811554833152,0.05771556476464018
24,23,5,0,16,24,0.16586310134088425,0.4116408130785096,0.2840506946397976,0.056824800472904516
24,23,5,0.1,12,22,0.13511883828784538,0.3415885730565331,0.24179869781467753,0.05656116327662377
24,23,5,0.1,12,24,0.25142390808992365,0.4642650887913396,0.3619029545748522,0.0566080926435267
24,23,5,0.1,16,22,0.1580558155556424,0.3755333063640771,0.22332002423297437,0.05473875029439334
24,23,5,0.1,16,24,0.16586310134088425,0.4116408130785096,0.3004575925656656,0.05368278919096659
24,23,6,0,12,22,0.13511883828784538,0.3415885730565331,0.30408357386571677,0.0655412607146922
24,23,6,0,12,24,0.25142390808992365,0.4642650887913396,0.27369811163848967,0.06381225194332105
24,23,6,0,16,22,0.1580558155556424,0.3755333063640771,0.3559205489137362,0.0667619226059476
24,23,6,0,16,24,0.16586310134088425,0.4116408130785096,0.29475038853619145,0.06654431025187174
24,23,6,0.1,12,22,0.13511883828784538,0.3415885730565331,0.25638517883499073,0.06398747259668265
24,23,6,0.1,12,24,0.25142390808992365,0.4642650887913396,0.348716811171987,0.06859350769329166
24,23,6,0.1,16,22,0.1580558155556424,0.3755333063640771,0.2746815149154716,0.06701321636564767
24,23,6,0.1,16,24,0.16586310134088425,0.4116408130785096,0.3276257697864957,0.06858736205101013
24,25,5,0,12,22,0.13051965909755986,0.3393183163054569,0.5190259163333378,0.0586415248963891
24,25,5,0,12,24,0.12540582946875423,0.3390168490497508,0.276606610752381,0.05401331366562262
24,25,5,0,16,22,0.11218095209919862,0.3873195868992901,0.3214368492221415,0.05309111525372761
24,25,5,0,16,24,0.12529417530602177,0.3710284658763297,0.25751194837857133,0.05305532129799447
24,25,5,0.1,12,22,0.13051965909755986,0.3393183163054569,0.6043511923880374,0.052879355298382696
24,25,5,0.1,12,24,0.12540582946875423,0.3390168490497508,0.2836451653780254,0.05292744725203711
24,25,5,0.1,16,22,0.11218095209919862,0.3873195868992901,0.26441930910949524,0.05396408686930231
24,25,5,0.1,16,24,0.12529417530602177,0.3710284658763297,0.2461501152151282,0.05345788411181358
24,25,6,0,12,22,0.13051965909755986,0.3393183163054569,0.24943373318457882,0.06329211490910228
24,25,6,0,12,24,0.12540582946875423,0.3390168490497508,0.2980249224499637,0.06394187973766792
24,25,6,0,16,22,0.11218095209919862,0.3873195868992901,0.394850184539392,0.06280193491679865
24,25,6,0,16,24,0.12529417530602177,0.3710284658763297,0.20997062520172696,0.06315251373663182
24,25,6,0.1,12,22,0.13051965909755986,0.3393183163054569,0.23278311845959884,0.06385436731165853
24,25,6,0.1,12,24,0.12540582946875423,0.3390168490497508,0.23112184010752138,0.06451859775123969
24,25,6,0.1,16,22,0.11218095209919862,0.3873195868992901,0.43567097085167816,0.063296438467623
24,25,6,0.1,16,24,0.12529417530602177,0.3710284658763297,0.22514917518099709,0.06353695707006769
