look_back,batch_size,updates,threshold,Avg_Train_RNMSE,Avg_Test_RNMSE,Avg_Test_Inc_RNMSE,Avg_Test_Inc_Time
16,25,6,0.2,0.1625617,0.306110011,0.220358224,0.323656621
16,25,7,0.12,0.155932668,0.300165948,0.224906683,0.370181841
20,25,7,0.14,0.148794839,0.303753239,0.226065546,0.392623238
16,25,7,0.13,0.153987977,0.344059459,0.227799087,0.382731569
24,25,7,0.14,0.145679058,0.316442452,0.230425583,0.396394203
16,25,6,0.13,0.155141237,0.31901023,0.230479635,0.326639626
12,25,6,0.15,0.168717924,0.325983794,0.23132732,0.323777119
12,25,7,0.13,0.16020548,0.321529416,0.234791806,0.379006222
20,25,7,0,0.149951726,0.369422952,0.236872635,0.392266381
20,25,6,0.13,0.150764268,0.343486968,0.237089775,0.339527539
20,25,7,0.13,0.151582118,0.313018113,0.237988416,0.39106246
24,25,7,0.12,0.147177959,0.312218196,0.239579813,0.390101266
24,25,5,0.14,0.145082321,0.327174146,0.24324418,0.270941681
16,25,7,0,0.153859605,0.313461115,0.246681788,0.380387595
24,25,6,0.1,0.146179,0.32877412,0.253151194,0.337876917
16,25,7,0.14,0.156050663,0.295942171,0.256339659,0.390004976
12,25,6,0.12,0.169914561,0.303937724,0.265071387,0.344102279
24,25,7,0.15,0.147023088,0.311157001,0.266716047,0.392636289
16,25,6,0,0.160678686,0.316679948,0.267121193,0.317775843
12,25,5,0.15,0.163781394,0.356276708,0.267395332,0.26219028
12,25,5,0,0.164866443,0.315316213,0.268281798,0.263180939
12,25,7,0.14,0.160363345,0.300912761,0.274952888,0.38029214
12,25,5,0.2,0.163424836,0.30311846,0.280369067,0.253240377
24,25,6,0.12,0.146654365,0.320176456,0.283961165,0.334606614
16,25,6,0.1,0.155060034,0.303397772,0.284041992,0.31017948
20,25,6,0.12,0.150140154,0.362112497,0.284257618,0.335749124
12,25,7,0.12,0.164632124,0.309556374,0.289127876,0.380493422
20,25,5,0.15,0.152372874,0.359181728,0.289349562,0.283996196
20,25,7,0.1,0.149931603,0.306693209,0.289918058,0.393126811
12,25,7,0.15,0.165901462,0.304153314,0.29001943,0.384788994
16,25,7,0.1,0.15620253,0.302022992,0.290498994,0.374906201
20,25,6,0.14,0.150088652,0.31315339,0.290507334,0.340875221
16,25,5,0.2,0.15839055,0.32094403,0.296118562,0.263543424
12,25,5,0.13,0.169128007,0.315308096,0.296302272,0.263483357
20,25,6,0.15,0.151923551,0.314417279,0.297760734,0.335903012
16,25,6,0.15,0.158468716,0.307403117,0.297841211,0.324155365
16,25,6,0.14,0.157107288,0.3173566,0.301753023,0.326095821
20,25,6,0.1,0.151030922,0.30307258,0.302548589,0.334824933
24,25,5,0.2,0.143808843,0.3024571,0.309391759,0.28135028
12,25,6,0.14,0.165207164,0.307037753,0.310015192,0.324999576
16,25,5,0.12,0.1571925,0.331969193,0.317676349,0.273814941
20,25,7,0.2,0.150120817,0.292928534,0.318301994,0.390726709
24,25,5,0,0.145942406,0.302217498,0.322289586,0.281589801
24,25,5,0.12,0.144260969,0.295173929,0.323411845,0.279743468
12,25,7,0.1,0.166168147,0.308423995,0.324304795,0.384336533
12,25,5,0.12,0.165919522,0.348009822,0.325325849,0.261793721
20,25,5,0.1,0.150425973,0.315246539,0.332383545,0.277941847
24,25,7,0.2,0.145034177,0.306956622,0.334884155,0.392026955
12,25,5,0.14,0.161539876,0.358337394,0.339190997,0.263096645
16,25,6,0.12,0.156945252,0.314182108,0.340152161,0.317094701
24,25,6,0.2,0.147940407,0.3114641,0.340386209,0.326445816
12,25,7,0.2,0.162344452,0.313261172,0.342250657,0.383002437
12,25,6,0.2,0.164539615,0.303981668,0.342279028,0.325535023
20,25,5,0.14,0.151829671,0.323698813,0.350461071,0.280727259
16,25,5,0,0.156472996,0.305231867,0.355458874,0.270747563
24,25,7,0.1,0.145320809,0.299193062,0.366901737,0.392680194
20,25,7,0.12,0.151788314,0.356632601,0.370436482,0.391927159
12,25,6,0,0.16329074,0.328320751,0.376462224,0.318771273
12,25,7,0,0.162688699,0.301993253,0.376544933,0.384388165
16,25,7,0.2,0.155218936,0.30043142,0.37662579,0.387853387
12,25,6,0.13,0.169014364,0.311689891,0.378738215,0.341980669
24,25,7,0,0.145729357,0.317502805,0.386846411,0.386073599
20,25,7,0.15,0.151374362,0.334410979,0.3907485,0.392574355
16,25,5,0.13,0.15812352,0.304611707,0.398557392,0.264207479
24,25,5,0.13,0.144770358,0.304206782,0.399043317,0.279239032
24,25,6,0.14,0.147293957,0.29692195,0.410407093,0.332826527
24,25,6,0.15,0.14591331,0.298693709,0.414363788,0.326275019
24,25,5,0.1,0.148192038,0.30550218,0.42420232,0.281746294
12,25,6,0.1,0.167973159,0.295886673,0.429407354,0.326754779
16,25,5,0.1,0.156270716,0.315513945,0.440744009,0.261698279
20,25,5,0.2,0.149430152,0.313389236,0.461872827,0.281837489
24,25,5,0.15,0.146153542,0.310684456,0.4632198,0.282438171
24,25,6,0,0.146086383,0.314720277,0.463653611,0.34013049
20,25,5,0.12,0.153366623,0.333119907,0.469234689,0.277331865
20,25,5,0.13,0.149486659,0.313011923,0.475965889,0.278918406
16,25,7,0.15,0.155192199,0.29058533,0.486374148,0.387551914
20,25,5,0,0.153630665,0.303342216,0.486405393,0.277263464
16,25,5,0.15,0.157058846,0.303319463,0.498993906,0.263941796
16,25,5,0.14,0.156083035,0.304348444,0.505214953,0.267507118
20,25,6,0,0.151662898,0.313971723,0.507614517,0.335806462
24,25,6,0.13,0.146779084,0.297930445,0.509100943,0.334989094
24,25,7,0.13,0.146375374,0.305110741,0.608997392,0.394814257
20,25,6,0.2,0.148638932,0.302135147,0.611718823,0.338193267
12,25,5,0.1,0.167190122,0.320872655,0.673492825,0.266070294
