look_back,batch_size,updates,threshold,num_filters,Avg_Train_RNMSE,Avg_Test_RNMSE,Avg_Test_Inc_RNMSE,Avg_Test_Inc_Time
24,25,7,0.1,16,0.12269862,0.318031526,0.210761501,1.003814913
12,25,7,0,16,0.15617275,0.328795071,0.213514145,0.707524086
24,25,7,0,20,0.128116261,0.326773408,0.215125399,1.025754781
24,25,7,0.1,12,0.129231484,0.315895234,0.216535341,1.019540464
24,25,5,0.1,16,0.124343142,0.317353919,0.224812618,0.713663862
24,25,7,0,24,0.122492182,0.346852489,0.227029783,1.022502887
24,25,5,0.2,24,0.128202364,0.331606381,0.228611534,0.736571117
24,25,5,0,20,0.126075846,0.349538983,0.232000203,0.732347091
12,25,7,0.1,20,0.149892122,0.309485858,0.238293394,0.712532129
24,25,7,0.1,20,0.118276892,0.332111416,0.239984207,1.010531128
12,25,5,0.2,20,0.148931761,0.327473287,0.241049602,0.50178819
24,25,5,0,24,0.120086007,0.32149547,0.250712255,0.733663771
12,25,7,0.2,12,0.149768643,0.310040059,0.25255294,0.707094548
12,25,5,0,12,0.143518057,0.304188629,0.256137846,0.508157954
24,25,7,0.2,20,0.122477807,0.314391705,0.25818078,1.004829294
12,25,7,0.2,16,0.145094091,0.317569622,0.263430679,0.700019649
24,25,7,0.2,16,0.125540876,0.328212056,0.269601756,0.999159144
24,25,7,0.2,12,0.127812638,0.300343255,0.282315247,1.006605626
12,25,5,0.1,16,0.146527063,0.329299462,0.289114549,0.493916438
12,25,7,0,24,0.14454573,0.329142468,0.294064119,0.70791548
24,25,5,0,12,0.13383184,0.325456862,0.297357965,0.736120659
12,25,5,0.1,24,0.151419844,0.324166211,0.301454187,0.500167714
12,25,7,0.2,24,0.140376716,0.324368487,0.303662743,0.699746035
12,25,7,0,12,0.146272005,0.317723576,0.307124675,0.70535767
12,25,7,0.2,20,0.142405375,0.382051316,0.308295842,0.705495103
12,25,7,0.1,12,0.14424814,0.342601322,0.31250378,0.700477203
12,25,5,0.2,24,0.142848173,0.348766282,0.317173831,0.500911476
12,25,5,0,20,0.144664626,0.317083046,0.327217733,0.513847908
24,25,5,0,16,0.150427759,0.356894942,0.329096281,0.733667334
24,25,7,0,16,0.121850994,0.330012263,0.33209041,1.023398633
24,25,5,0.2,20,0.123868225,0.32138084,0.338773102,0.74705823
24,25,5,0.1,24,0.122428601,0.330114464,0.347927681,0.732255496
24,25,7,0.2,24,0.121457683,0.319897521,0.349918926,1.009370491
24,25,5,0.1,20,0.124908186,0.326491039,0.349990405,0.712500758
24,25,5,0.2,16,0.137222173,0.325906718,0.359354822,0.740250741
24,25,5,0.1,12,0.127904339,0.324262095,0.368089544,0.721343744
24,25,7,0.1,24,0.126600572,0.337962165,0.376734787,1.015033151
12,25,5,0,16,0.144455724,0.310030912,0.377151996,0.50770027
12,25,7,0,20,0.144417629,0.336631781,0.386662859,0.712891151
12,25,5,0.1,12,0.143183996,0.33205033,0.399954455,0.50162296
12,25,7,0.1,16,0.146562032,0.323010001,0.400336462,0.69666111
12,25,5,0.2,16,0.143552463,0.309800165,0.426251441,0.502641829
12,25,5,0.2,12,0.154063468,0.306809593,0.433901272,0.494387865
12,25,5,0.1,20,0.144043086,0.332652675,0.434076699,0.49763265
24,25,7,0,12,0.128773415,0.323613694,0.438014933,1.033253
24,25,5,0.2,12,0.125248701,0.303190376,0.47817002,0.739496842
12,25,7,0.1,24,0.139988676,0.318877568,0.512952107,0.710292464
12,25,5,0,24,0.151074959,0.328796951,0.534059132,0.506208411
